mass_A
t	x
0.0	71.57717629846383
0.05000000000000002	52.48625160910751
0.09999999999999999	31.79516817121805
0.15	10.41854197966586
0.2	-11.359077276015341
0.25	-33.11034734882412
0.3	-54.11792542802084
0.35000000000000003	-73.47250399869534
0.4	-90.5127801586338
0.45000000000000007	-105.3455658698017
0.5000000000000001	-117.52032099190961
0.5499999999999999	-126.42772498696115
0.6	-131.54185401337742
0.6499999999999999	-133.39212938769856
0.7	-131.61972158392769
0.75	-126.41007138247073
0.7999999999999999	-118.18401504971126
0.85	-106.34948922655423
0.8999999999999999	-91.80615641456279
0.9499999999999998	-74.75365465862563
0.9999999999999999	-56.33341882304296
1.05	-36.057154083821615
1.1	-14.721012551966624
1.1500000000000001	6.694317989227557
1.2	27.666953698331838
1.25	47.84696592117564
1.3	66.6408484350003
1.35	83.62251266548878
1.4000000000000001	98.59475519280909
1.45	110.58241771725932
1.5	119.45505100633773
1.55	125.30704918265997
1.6	127.8877914927973
1.6500000000000001	126.74591966551486
1.7	121.89972995761468
1.75	113.83507295243567
1.8	102.76292323934194
1.85	88.75428938993286
1.9000000000000001	72.2897194604152
1.95	53.38389775546375
2.0000000000000004	33.172580027932895
2.05	11.876535178923291
2.0999999999999996	-9.954192894431912
2.15	-31.838365361263868
2.1999999999999997	-52.615946655742164
2.25	-71.91139988441785
2.3	-89.10627248319918
2.3499999999999996	-104.21888368958076
2.4	-116.70802492343512
2.4499999999999997	-125.41713245924552
2.5	-131.07553030862823
2.55	-133.22016974867307
2.5999999999999996	-131.81365936958758
2.65	-126.72672176803309
2.6999999999999997	-118.2182653945082
2.75	-106.74043489335997
2.8	-92.30426166172674
2.8499999999999996	-75.98134269940988
2.9	-57.479002017285836
2.9499999999999997	-37.30346447383204
3.0	-16.189400888728187
3.05	5.270774540040918
3.0999999999999996	26.401620255404964
3.15	46.66349409852569
3.1999999999999997	65.76853756118771
3.25	82.87464473356158
3.3	97.75684376775621
3.3499999999999996	109.78264847625826
3.4	118.79636826713534
3.4499999999999997	124.94832295636957
3.5	127.59283788483015
3.55	126.55934476672132
3.5999999999999996	122.03897580002513
3.65	114.19871585551255
3.6999999999999997	103.49454879853215
3.75	89.59593205829333
3.8	72.97179503131338
3.8499999999999996	54.392414621579974
3.9	34.36492366236013
3.9499999999999997	13.233548349526814
3.9999999999999996	-8.56701123081541
4.05	-30.32055974836885
4.1000000000000005	-51.16546907433923
4.15	-70.47255853938248
4.2	-88.03176931073915
4.25	-103.32490487389674
4.3	-115.81453267664892
