mass_A
t	x
37.83333333333333	11.583028529626944
37.849999999999994	12.855487177177224
37.86666666666667	14.295498846629812
37.88333333333333	15.768825034579777
37.9	17.417065043860475
37.916666666666664	18.85635670476381
37.93333333333333	20.426536317294563
37.949999999999996	21.844817112881856
37.96666666666666	23.373826016145074
37.98333333333333	24.723662748283914
38.0	25.961998511244758
38.016666666666666	27.035187410810863
38.03333333333333	27.931223206622917
38.05	28.716197806640537
38.06666666666666	29.356513760718713
38.08333333333333	29.682748084936065
38.099999999999994	29.74142605155032
38.11666666666667	29.63320150406861
38.13333333333333	29.463166627359442
38.15	28.964941273250588
38.166666666666664	28.462215430202377
38.18333333333333	27.708678431248245
38.199999999999996	26.851737887997842
38.21666666666666	25.732136009975306
38.23333333333333	24.513161450224402
38.25	23.16523725404727
38.266666666666666	21.625866248240868
38.28333333333333	20.02154425067596
38.3	18.44231935938376
38.31666666666666	16.851916141227093
38.33333333333333	15.430277306888684
38.349999999999994	14.070562481645652
38.36666666666667	12.659637074641864
38.38333333333333	11.516657330523174
38.4	10.55680123806809
38.416666666666664	9.633604882281475
38.43333333333333	8.820509970343323
38.449999999999996	7.986565147064255
38.46666666666666	7.288044239016585
38.48333333333333	6.829898736095174
38.5	6.621526538022522
38.516666666666666	6.6512499944612955
38.53333333333333	7.037145348507011
38.55	7.617565685056093
38.56666666666666	8.474158011819554
38.58333333333333	9.483610962284047
38.599999999999994	10.557315443076618
38.61666666666667	11.639026873880425
38.63333333333333	12.8142152292927
38.65	14.10279731734704
38.666666666666664	15.562747061752589
38.68333333333333	17.05918721444607
38.699999999999996	18.548480245366136
38.71666666666666	20.234422373582333
38.73333333333333	21.74721119594824
38.75	23.303860251715605
38.766666666666666	24.60316722212457
38.78333333333333	25.752980265492397
38.8	26.777498589087145
38.81666666666666	27.694924208314717
38.83333333333333	28.522964881420194
38.849999999999994	29.121187459895168
38.86666666666667	29.59629474129281
38.88333333333333	29.673438754858694
38.9	29.653662184001405
38.916666666666664	29.417781612106296
38.93333333333333	28.85545744070049
38.949999999999996	28.329853755838144
38.96666666666666	27.554759492291225
38.98333333333333	26.621464334623568
39.0	25.623583289240855
39.016666666666666	24.479713273281902
39.03333333333333	23.255883957081494
39.05	21.782410659883567
39.06666666666666	20.362059311856797
39.08333333333333	18.736831352586137
39.099999999999994	17.07500532824406
39.11666666666667	15.48264284270067
39.13333333333333	13.930394804601917
39.15	12.524238390436324
39.166666666666664	11.386839815894518
39.18333333333333	10.421581167945135
39.199999999999996	9.517776845888648
39.21666666666666	8.707997834649177
39.23333333333333	8.095007770370046
39.25	7.696506166727318
39.266666666666666	7.445493254037046
39.28333333333333	7.374613864635307
39.3	7.508286639126936
39.31666666666666	7.754719578292338
39.33333333333333	8.380056606042046
39.349999999999994	9.18325063042704
39.36666666666667	10.013642621067675
39.38333333333333	10.925855435194308
39.4	12.085782307419208
39.416666666666664	13.491898228037599
39.43333333333333	14.80361408784347
39.449999999999996	16.3638870370267
39.46666666666666	17.802452692468876
39.48333333333333	19.38341237824443
39.5	20.849533344319525
39.516666666666666	22.31565651254408
39.53333333333333	23.676302217883517
39.55	24.868841974275085
39.56666666666666	25.909696566945968
39.58333333333333	26.829444495484722
39.599999999999994	27.71006423049522
39.61666666666667	28.503135656098152
39.63333333333333	29.05494738300797
39.65	29.529987228955633
39.666666666666664	29.66706005500197
39.68333333333333	29.654230576028453
39.699999999999996	29.453158191351065
39.71666666666666	28.802611337910264
39.73333333333333	28.07154306301959
39.75	27.260462046632142
39.766666666666666	26.31131221457406
39.78333333333333	25.209838286313527
39.8	23.99545378718392
39.81666666666666	22.638570419165944
39.83333333333333	21.2970298911938
39.849999999999994	19.792431447695435
39.86666666666667	18.37883237596384
39.88333333333333	16.794147696405275
39.9	15.396344347763716
39.916666666666664	13.891872514282966
39.93333333333333	12.54689680364379
39.949999999999996	11.380895438386517
39.96666666666666	10.29746456258897
39.98333333333333	9.402239719605745
40.0	8.583886443054553
40.016666666666666	7.845684383330081
40.03333333333333	7.507447536301527
40.05	7.448772803224472
40.06666666666666	7.478109570612048
40.08333333333333	7.6917524977653216
40.099999999999994	8.254262540101195
40.11666666666667	8.743548530372095
40.13333333333333	9.522436201675362
40.15	10.409053187054042
40.166666666666664	11.411546818949432
40.18333333333333	12.488075496967781
40.199999999999996	13.709805005066244
40.21666666666666	15.095120199872326
40.23333333333333	16.67783690517922
40.25	18.220978759318996
40.266666666666666	19.74060500568396
40.28333333333333	21.253652551769733
40.3	22.642639651796912
40.31666666666666	23.849449403610947
40.33333333333333	24.950695517898566
40.349999999999994	25.893334905152415
40.36666666666667	26.792044242022826
40.38333333333333	27.668385188338732
40.4	28.405823271607858
40.416666666666664	28.867630224256004
40.43333333333333	29.26677989276766
40.449999999999996	29.548184062518317
40.46666666666666	29.492977075148417
40.48333333333333	29.30739494549607
40.5	28.924597309197054
40.516666666666666	28.127267338644515
40.53333333333333	27.521332318475856
40.55	26.563487834956845
40.56666666666666	25.51467709636364
40.58333333333333	24.322812448126626
40.599999999999994	23.10317087016756
40.61666666666667	21.745889360875935
40.63333333333333	20.350183613715785
40.65	18.905858708867186
40.666666666666664	17.44084285559211
40.68333333333333	15.968963349044316
40.699999999999996	14.587222862705005
40.71666666666666	13.344563910769182
40.73333333333333	12.149788652495488
40.75	11.20296600821655
40.766666666666666	10.292317715292143
