mass_A
t	x
0.0	16.557790782735935
0.05000000000000002	37.34188484377046
0.09999999999999999	56.92842086335344
0.15	75.05068191361437
0.2	91.463766439864
0.25	105.4985148754381
0.3	117.64892438423499
0.35000000000000003	127.56955548861833
0.4	134.59020576782655
0.45000000000000007	138.4807036481866
0.5000000000000001	139.52661659323576
0.5499999999999999	137.72515399001713
0.6	133.06484432764273
0.6499999999999999	125.79489745906767
0.7	115.39815762289481
0.75	102.66306764149999
0.7999999999999999	87.78751398347958
0.85	71.01642619101165
0.8999999999999999	52.30365534843236
0.9499999999999998	32.30833851780483
0.9999999999999999	11.438931158258697
1.05	-9.747662813247757
1.1	-30.735657410180067
1.1500000000000001	-51.637060778245996
1.2	-71.53294959136622
1.25	-90.11495873359502
1.3	-107.00319312114073
1.35	-122.17046828506102
1.4000000000000001	-134.451005035727
1.45	-144.50193077767824
1.5	-151.44281752308348
1.55	-155.23409006718788
1.6	-156.20651712093508
1.6500000000000001	-154.48803439269506
1.7	-149.08015144639967
1.75	-141.1682703165028
1.8	-130.57706219180534
1.85	-117.3725471581302
1.9000000000000001	-101.80665832307614
1.95	-84.5141677114242
2.0000000000000004	-65.57077054783156
2.05	-45.40983308872103
2.0999999999999996	-24.688265563003768
2.15	-3.763797668159782
2.1999999999999997	17.586421890440135
2.25	37.98552998776495
2.3	57.107685964689324
2.3499999999999996	75.10340397749098
2.4	91.56664726053953
2.4499999999999997	105.73034769399396
2.5	117.992695291416
2.55	127.5490298438873
2.5999999999999996	134.11294015755698
2.65	138.0966450203531
2.6999999999999997	139.5222954629984
2.75	137.60730641455928
2.8	132.6865106403843
2.8499999999999996	125.21205211108509
2.9	114.99845325196975
2.9499999999999997	102.15061192993437
3.0	87.40670661906324
3.05	70.48873031448937
3.0999999999999996	51.669401469558466
3.15	31.82803188847862
3.1999999999999997	10.997812872302347
3.25	-10.440920816043217
3.3	-31.61581783231776
3.3499999999999996	-52.285738527230194
3.4	-72.33814923562579
3.4499999999999997	-90.7585509789796
3.5	-107.44196694129619
3.55	-122.45661755452676
3.5999999999999996	-134.69550847316265
3.65	-144.26830849230043
3.6999999999999997	-151.3353970413616
3.75	-155.40857179238623
3.8	-156.24030359482316
3.8499999999999996	-154.16524854725355
3.9	-149.05897826847433
3.9499999999999997	-141.03924033995088
3.9999999999999996	-130.33637165659997
4.05	-117.22230655814826
4.1000000000000005	-101.54561211416575
4.15	-84.18013659516538
4.2	-65.37881412703848
4.25	-45.360271750905554
4.3	-24.57064454974659
4.3500000000000005	-3.5081651647900003
4.4	17.5380287011551
4.45	37.87145259684564
4.5	56.97654351852913
4.55	74.76129555446431
4.6000000000000005	91.21960328434301
4.65	105.67181528145261
4.7	117.41231973686274
4.75	126.81128468145016
4.8	133.71412170474855
4.8500000000000005	137.59760037259753
